epoca;gen;ac;ap;nc;ng;areac;compg;largg;nr;mc;rgpla;icc;ngcap;mmg
E3;G125;65;70;7;29;0.357137928;0.430518096;0.244028502;0;0.2;0.08;0.4;4.142857143;2.75862069
E3;G126;64;78;2;12;0.328425237;0.424760711;0.233225995;0;0.03;0.01;0.333333333;6;0.833333333
E3;G127;66;76;14;68;0.335571873;0.43725828;0.237696511;0;0.45;0.26;0.577777778;4.857142857;3.823529412
E3;G128;67.8;81.5;13;42;0.407108022;0.437680761;0.234997875;1;0.42;0.17;0.404761905;3.230769231;4.047619048
E3;G129;66.5;100.01;52;241;0.357207616;0.415637725;0.233327552;1;1.54;0.83;0.538961039;4.634615385;3.443983402
E3;G130;73;98.7;44;234;0.383205786;0.438847863;0.24262219;2;1.79;0.97;0.541899441;5.318181818;4.145299145
E3;G131;72;100.02;24;101;0.426662519;0.450563796;0.248912084;2;0.86;0.42;0.488372093;4.208333333;4.158415842
E3;G132;56;75;24;125;0.38278204;0.423856207;0.235629792;0;0.72;0.47;0.652777778;5.208333333;3.76
E3;G133;62;84.6;36;180;0.383024613;0.43313252;0.235910615;0;1.23;0.74;0.601626016;5;4.111111111
E3;G134;58;74;5;24;0.322601557;0.423670285;0.2290767;0;0.12;0.09;0.75;4.8;3.75
E3;G135;54;76;7;33;0.423409485;0.436061437;0.227949448;0;0.23;0.12;0.52173913;4.714285714;3.636363636
E3;G136;65;77;6;25;0.301333074;0.43482601;0.231007452;0;0.12;0.07;0.583333333;4.166666667;2.8
E3;G137;82.5;100.09;59;270;0.250930717;0.369385768;0.204538961;4;1.36;0.81;0.595588235;4.576271186;3
E3;G138;69;90;20;90;0.356288839;0.443104047;0.251312718;2;0.58;0.33;0.568965517;4.5;3.666666667
E3;G139;81;100.01;40;179;0.276276797;0.417587289;0.227111469;2;1.26;0.81;0.642857143;4.475;4.525139665
E3;G140;79;89.2;8;49;0.326016738;0.463140333;0.240976914;2;0.27;0.16;0.592592593;6.125;3.265306122
E3;G141;76;97;16;112;0.323501433;0.4389087;0.230082176;0;0.64;0.43;0.671875;7;3.839285714
E3;G142;69;93;5;22;0.281945234;0.401230074;0.224128613;1;0.1;0.06;0.6;4.4;2.727272727
E3;G143;68;81;12;77;0.363868676;0.452620219;0.23986684;0;0.44;0.31;0.704545455;6.416666667;4.025974026
